   0.10000    2.00778    0.06542
   0.12000    2.78574    0.07706
   0.14000    3.71503    0.08898
   0.16000    4.32248    0.09598
   0.18000    5.25603    0.10584
   0.20000    5.81233    0.11130
   0.22000    6.75227    0.11997
   0.24000    7.50892    0.12651
   0.26000    8.61512    0.13551
   0.28000    9.89396    0.14522
   0.30000   11.36889    0.15567
   0.32000   12.91415    0.16591
   0.34000   15.74465    0.18319
   0.36000   18.27889    0.19738
   0.38000   22.32855    0.21815
   0.40000   26.72349    0.23866
   0.42000   32.45909    0.26303
   0.44000   40.33461    0.29321
   0.46000   51.11523    0.33007
   0.48000   62.98927    0.36641
   0.50000   78.01350    0.40777
   0.52000   93.95211    0.44749
   0.54000  108.89108    0.48176
   0.56000  120.05537    0.50585
   0.58000  126.07870    0.51839
   0.60000  118.56339    0.50270
   0.62000   93.87751    0.44731
   0.64000   87.34264    0.43147
   0.66000   78.01137    0.40777
   0.68000   68.90816    0.38324
   0.70000   61.08592    0.36083
   0.72000   54.92618    0.34215
   0.74000   49.92804    0.32622
   0.76000   46.31532    0.31419
   0.78000   43.01591    0.30279
   0.80000   40.44118    0.29359
   0.82000   39.38401    0.28973
   0.84000   38.47177    0.28635
   0.86000   38.58473    0.28677
   0.88000   38.62523    0.28692
   0.90000   40.69482    0.29451
   0.92000   43.04575    0.30290
   0.94000   48.41049    0.32122
