=Aleph5       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=Aleph6       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=Delphi4      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=Delphi5      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=LT9          =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=LT10         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=Opal6        =   KKMC 4.14  =S= 206.00=     6.6059678=     0.0039181=     0.1321194=pb       =pb       = CEEX2   IFIoff           =
=Opal7        =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=Aleph5       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=Aleph6       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=Delphi4      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=Delphi5      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=LT9          =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=LT10         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=Opal6        =   KKMC 4.14  =S= 206.00=     6.5293858=     0.0038928=     0.1305877=pb       =pb       = EEX2                     =
=Opal7        =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=Aleph5       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=Aleph6       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=Delphi4      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=Delphi5      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=LT9          =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=LT10         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=Opal6        =   KKMC 4.14  =S= 206.00=     6.5294186=     0.0038931=     0.1305884=pb       =pb       = EEX3                     =
=Opal7        =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=ALEPH-12     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=ALEPH-15     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=DELPHI9      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=DELPHI12     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=LT15         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=LT18         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=Opal14       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=Opal15       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=Opal20       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=Opal21       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2                    =
=ALEPH-12     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=ALEPH-15     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=DELPHI9      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=DELPHI12     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=LT15         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=LT18         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
