<be>
INDF,Ecm,vmax,XS,Afb= 2  200.0  0.990  0.669623D-02  0.280647D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.010  0.152099D-02  0.637713D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.050  0.193816D-02  0.597413D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.100  0.216092D-02  0.584801D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.150  0.230487D-02  0.578717D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.200  0.241379D-02  0.574990D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.250  0.250277D-02  0.572457D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.300  0.257891D-02  0.570614D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.350  0.264638D-02  0.569229D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.400  0.270786D-02  0.568167D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.450  0.276530D-02  0.567346D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.500  0.282032D-02  0.566716D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.550  0.287448D-02  0.566245D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.600  0.292965D-02  0.565916D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.650  0.298869D-02  0.565695D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.700  0.305763D-02  0.565430D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.750  0.315891D-02  0.563865D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.760  0.319103D-02  0.562717D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.765  0.321066D-02  0.561806D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.770  0.323398D-02  0.560540D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.780  0.329964D-02  0.555942D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.785  0.335055D-02  0.551533D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.790  0.342758D-02  0.543922D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.800  0.384762D-02  0.496465D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.805  0.444322D-02  0.433138D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.810  0.497110D-02  0.383758D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.830  0.551340D-02  0.334973D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.850  0.565997D-02  0.321264D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.900  0.584236D-02  0.305350D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.950  0.599986D-02  0.294460D+00
INDF,Ecm,vmax,XS,Afb= 2  206.0  0.990  0.625888D-02  0.280323D+00
<en>                                                              





