  Table of delta-sigma-total due to ISR*FSR interference 
   CMSene-MZ,     SigG1,    SigZfInt,   SigG1Int,  dSigG1Int,  SigKmInt,  dSigKmInt
 5   points
       -3.000000      221.482223        0.000000       -1.036141        0.016561       -1.116450        0.040099
       -1.800000      467.012140        0.000000       -1.398320        0.029548       -1.490080        0.080778
        0.000000     1459.342400        0.000000       -0.448789        0.067234       -0.020856        0.187389
        1.800000      685.439394        0.000000        0.698736        0.056888        1.326440        0.104242
        3.000000      399.588117        0.000000        0.639088        0.037649        1.033580        0.058971
