  Table of delta-sigma-total due to ISR*FSR interference 
   CMSene-MZ,     SigG1,    SigG1Int,  dSigG1Int
 5   points
  -3.000       4452.      0.5398      0.1232    
  -1.800     -0.1000E+10 -0.1000E+10   0.000    
   0.000      0.3036E+05 -0.3776      0.7965    
   1.800     -0.1000E+10 -0.1000E+10   0.000    
   3.000       8197.      -1.282      0.2863    
